Step,Loss,LR,Gate_Values
11020,3.7153,0.000300,"[0.494,0.707,0.814]"
11030,3.6797,0.000300,"[0.495,0.715,0.817]"
11040,3.6078,0.000300,"[0.502,0.709,0.805]"
11050,3.5023,0.000300,"[0.497,0.708,0.814]"
11060,3.6570,0.000300,"[0.499,0.704,0.808]"
11070,3.7973,0.000300,"[0.491,0.711,0.814]"
11080,3.5961,0.000300,"[0.506,0.710,0.828]"
11090,3.5526,0.000300,"[0.496,0.714,0.815]"
11100,3.4145,0.000300,"[0.491,0.715,0.832]"
11110,3.5761,0.000300,"[0.492,0.703,0.818]"
11120,3.6036,0.000300,"[0.481,0.719,0.832]"
11130,3.5103,0.000300,"[0.494,0.711,0.831]"
11140,3.6822,0.000300,"[0.494,0.714,0.817]"
11150,3.5319,0.000300,"[0.502,0.704,0.816]"
11160,3.4888,0.000300,"[0.506,0.713,0.837]"
11170,3.5175,0.000300,"[0.512,0.715,0.820]"
11180,3.6897,0.000300,"[0.480,0.707,0.821]"
11190,3.5866,0.000300,"[0.488,0.716,0.811]"
11200,3.9029,0.000300,"[0.496,0.706,0.796]"
11210,3.4760,0.000300,"[0.490,0.702,0.806]"
11220,3.6312,0.000300,"[0.487,0.714,0.826]"
11230,3.7321,0.000300,"[0.498,0.706,0.813]"
11240,3.5987,0.000300,"[0.502,0.706,0.820]"
11250,3.9061,0.000300,"[0.500,0.723,0.818]"
11260,3.4854,0.000300,"[0.493,0.702,0.823]"
11270,3.6434,0.000300,"[0.492,0.700,0.810]"
11280,3.5718,0.000300,"[0.496,0.713,0.816]"
11290,3.5352,0.000300,"[0.509,0.699,0.825]"
11300,3.6978,0.000300,"[0.507,0.715,0.815]"
11310,3.5170,0.000300,"[0.488,0.706,0.823]"
11320,3.5908,0.000300,"[0.496,0.696,0.821]"
11330,3.9185,0.000300,"[0.489,0.705,0.809]"
11340,3.8064,0.000300,"[0.511,0.710,0.820]"
11350,3.5177,0.000300,"[0.521,0.715,0.808]"
11360,3.6571,0.000300,"[0.502,0.710,0.833]"
11370,3.7267,0.000300,"[0.496,0.713,0.822]"
11380,3.6278,0.000300,"[0.502,0.710,0.826]"
11390,3.4824,0.000300,"[0.510,0.707,0.818]"
11400,3.6071,0.000300,"[0.501,0.725,0.824]"
11410,3.4096,0.000300,"[0.506,0.716,0.847]"
11420,3.5888,0.000300,"[0.497,0.719,0.817]"
11430,3.4251,0.000300,"[0.494,0.727,0.830]"
11440,3.6444,0.000300,"[0.491,0.712,0.833]"
11450,3.5130,0.000300,"[0.504,0.717,0.815]"
11460,3.4468,0.000300,"[0.508,0.716,0.823]"
11470,3.7936,0.000300,"[0.503,0.703,0.792]"
11480,3.7324,0.000300,"[0.504,0.709,0.823]"
11490,3.5189,0.000300,"[0.502,0.695,0.805]"
11500,3.6459,0.000300,"[0.507,0.720,0.828]"
11510,3.5975,0.000300,"[0.492,0.722,0.824]"
11520,3.6042,0.000300,"[0.496,0.719,0.814]"
11530,3.6067,0.000300,"[0.500,0.711,0.813]"
11540,3.6686,0.000300,"[0.512,0.710,0.812]"
11550,3.4692,0.000300,"[0.489,0.705,0.824]"
11560,3.7404,0.000300,"[0.492,0.709,0.815]"
11570,3.6258,0.000300,"[0.495,0.723,0.832]"
11580,3.7150,0.000300,"[0.500,0.716,0.837]"
11590,3.8490,0.000300,"[0.505,0.718,0.827]"
11600,3.5599,0.000300,"[0.515,0.718,0.821]"
11610,3.6941,0.000300,"[0.502,0.718,0.825]"
11620,3.5979,0.000300,"[0.504,0.715,0.840]"
11630,3.5123,0.000300,"[0.509,0.702,0.821]"
11640,3.6267,0.000300,"[0.517,0.721,0.841]"
11650,3.5217,0.000300,"[0.500,0.713,0.822]"
11660,3.6590,0.000300,"[0.506,0.711,0.837]"
11670,3.7408,0.000300,"[0.513,0.718,0.845]"
11680,3.5498,0.000300,"[0.506,0.702,0.830]"
11690,3.6607,0.000300,"[0.493,0.705,0.819]"
11700,3.6991,0.000300,"[0.504,0.722,0.827]"
11710,3.6038,0.000300,"[0.502,0.703,0.815]"
11720,3.6732,0.000300,"[0.505,0.716,0.796]"
11730,3.5764,0.000300,"[0.509,0.724,0.828]"
11740,3.6441,0.000300,"[0.496,0.707,0.831]"
11750,3.6641,0.000300,"[0.515,0.724,0.806]"
11760,3.6694,0.000300,"[0.500,0.717,0.816]"
11770,3.5631,0.000300,"[0.512,0.723,0.826]"
11780,3.5852,0.000300,"[0.497,0.717,0.833]"
11790,3.4535,0.000300,"[0.513,0.724,0.844]"
11800,3.6271,0.000300,"[0.502,0.719,0.812]"
11810,3.6348,0.000300,"[0.497,0.727,0.820]"
11820,3.4074,0.000300,"[0.509,0.707,0.807]"
11830,3.6912,0.000300,"[0.509,0.712,0.823]"
11840,3.5262,0.000300,"[0.506,0.711,0.818]"
11850,3.6136,0.000300,"[0.501,0.710,0.826]"
11860,3.6620,0.000300,"[0.506,0.714,0.826]"
11870,3.4788,0.000300,"[0.520,0.709,0.826]"
11880,3.6301,0.000300,"[0.493,0.711,0.813]"
11890,3.6964,0.000300,"[0.505,0.725,0.822]"
11900,3.8425,0.000300,"[0.521,0.729,0.823]"
11910,3.6274,0.000300,"[0.499,0.713,0.827]"
11920,3.5712,0.000300,"[0.504,0.714,0.825]"
11930,3.6395,0.000300,"[0.505,0.718,0.826]"
11940,3.6454,0.000300,"[0.497,0.720,0.822]"
11950,3.4743,0.000300,"[0.502,0.718,0.842]"
11960,3.5692,0.000300,"[0.511,0.708,0.820]"
11970,3.5834,0.000300,"[0.502,0.716,0.818]"
11980,3.6114,0.000300,"[0.507,0.705,0.821]"
11990,3.5807,0.000300,"[0.502,0.708,0.820]"
12000,3.4432,0.000300,"[0.523,0.729,0.829]"
12010,3.6324,0.000300,"[0.509,0.712,0.819]"
12020,3.7574,0.000300,"[0.494,0.716,0.808]"
12030,3.4244,0.000300,"[0.509,0.717,0.825]"
12040,3.6912,0.000300,"[0.509,0.724,0.822]"
12050,3.4182,0.000300,"[0.506,0.723,0.837]"
12060,3.5753,0.000300,"[0.511,0.725,0.847]"
12070,3.4770,0.000300,"[0.516,0.720,0.835]"
12080,3.5505,0.000300,"[0.514,0.717,0.834]"
12090,3.6016,0.000300,"[0.501,0.711,0.811]"
12100,3.5769,0.000300,"[0.494,0.716,0.828]"
12110,3.4849,0.000300,"[0.507,0.713,0.830]"
12120,3.7157,0.000300,"[0.506,0.716,0.824]"
12130,3.5401,0.000300,"[0.495,0.707,0.817]"
12140,3.6633,0.000300,"[0.521,0.728,0.833]"
12150,3.6096,0.000300,"[0.504,0.710,0.803]"
12160,3.6388,0.000300,"[0.492,0.730,0.830]"
12170,3.4949,0.000300,"[0.511,0.699,0.822]"
12180,3.5284,0.000300,"[0.500,0.718,0.821]"
12190,3.6436,0.000300,"[0.515,0.721,0.826]"
12200,3.7287,0.000300,"[0.509,0.724,0.826]"
12210,3.6206,0.000300,"[0.508,0.730,0.818]"
12220,3.4452,0.000300,"[0.497,0.713,0.833]"
12230,3.5683,0.000300,"[0.512,0.727,0.830]"
12240,3.6425,0.000300,"[0.496,0.711,0.832]"
12250,3.4815,0.000300,"[0.503,0.726,0.842]"
12260,3.5384,0.000300,"[0.514,0.706,0.813]"
12270,3.4316,0.000300,"[0.512,0.712,0.812]"
12280,3.5399,0.000300,"[0.511,0.715,0.823]"
12290,3.5417,0.000300,"[0.516,0.737,0.840]"
12300,3.6564,0.000300,"[0.520,0.737,0.837]"
12310,3.5049,0.000300,"[0.503,0.722,0.833]"
12320,3.6883,0.000300,"[0.509,0.730,0.818]"
12330,3.7192,0.000300,"[0.516,0.722,0.824]"
12340,3.5333,0.000300,"[0.524,0.726,0.841]"
12350,3.4957,0.000300,"[0.508,0.710,0.831]"
12360,3.6139,0.000300,"[0.505,0.728,0.819]"
12370,3.5313,0.000300,"[0.517,0.733,0.839]"
12380,3.5747,0.000300,"[0.505,0.722,0.839]"
12390,3.6406,0.000300,"[0.510,0.721,0.832]"
12400,3.6550,0.000300,"[0.506,0.732,0.826]"
12410,3.5345,0.000300,"[0.512,0.715,0.814]"
12420,3.6555,0.000300,"[0.505,0.719,0.821]"
12430,3.5051,0.000300,"[0.514,0.715,0.835]"
12440,3.6190,0.000300,"[0.513,0.723,0.849]"
12450,3.6112,0.000300,"[0.520,0.734,0.840]"
12460,3.5845,0.000300,"[0.505,0.712,0.811]"
12470,3.5757,0.000300,"[0.512,0.732,0.838]"
12480,3.4020,0.000300,"[0.511,0.717,0.832]"
12490,3.7289,0.000300,"[0.517,0.738,0.829]"
12500,3.4974,0.000300,"[0.521,0.732,0.835]"
12510,3.6288,0.000300,"[0.512,0.717,0.815]"
12520,3.3444,0.000300,"[0.520,0.724,0.832]"
12530,3.5238,0.000300,"[0.515,0.727,0.836]"
12540,3.3945,0.000300,"[0.509,0.724,0.834]"
12550,3.5519,0.000300,"[0.516,0.735,0.831]"
12560,3.6109,0.000300,"[0.499,0.700,0.835]"
12570,3.6176,0.000300,"[0.503,0.711,0.827]"
12580,3.5653,0.000300,"[0.499,0.728,0.833]"
12590,3.7154,0.000300,"[0.515,0.734,0.844]"
12600,3.5384,0.000300,"[0.517,0.710,0.836]"
12610,3.7016,0.000300,"[0.514,0.735,0.829]"
12620,3.6814,0.000300,"[0.514,0.724,0.822]"
12630,3.7178,0.000300,"[0.501,0.728,0.842]"
12640,3.6768,0.000300,"[0.503,0.714,0.832]"
12650,3.5450,0.000300,"[0.512,0.726,0.835]"
12660,3.4606,0.000300,"[0.511,0.732,0.847]"
12670,3.5878,0.000300,"[0.505,0.718,0.845]"
12680,3.6286,0.000300,"[0.512,0.712,0.827]"
12690,3.5154,0.000300,"[0.504,0.716,0.820]"
12700,3.5447,0.000300,"[0.498,0.714,0.839]"
12710,3.6498,0.000300,"[0.509,0.706,0.826]"
12720,3.5971,0.000300,"[0.512,0.721,0.834]"
12730,3.5763,0.000300,"[0.517,0.733,0.841]"
12740,3.6299,0.000300,"[0.507,0.726,0.824]"
12750,3.2721,0.000300,"[0.513,0.737,0.851]"
12760,3.6526,0.000300,"[0.505,0.738,0.839]"
12770,3.5444,0.000300,"[0.509,0.738,0.839]"
12780,3.6964,0.000300,"[0.500,0.722,0.816]"
12790,3.5891,0.000300,"[0.517,0.733,0.837]"
12800,3.4357,0.000300,"[0.518,0.715,0.837]"
12810,3.5350,0.000300,"[0.512,0.721,0.833]"
12820,3.5567,0.000300,"[0.508,0.722,0.830]"
12830,3.5963,0.000300,"[0.507,0.725,0.834]"
12840,3.6206,0.000300,"[0.513,0.725,0.814]"
12850,3.6236,0.000300,"[0.524,0.730,0.837]"
12860,3.6874,0.000300,"[0.509,0.711,0.823]"
12870,3.6942,0.000300,"[0.515,0.723,0.815]"
12880,3.7207,0.000300,"[0.513,0.727,0.828]"
12890,3.5299,0.000300,"[0.511,0.710,0.831]"
12900,3.6005,0.000300,"[0.520,0.730,0.827]"
12910,3.5800,0.000300,"[0.507,0.722,0.842]"
12920,3.6022,0.000300,"[0.512,0.717,0.835]"
12930,3.4525,0.000300,"[0.523,0.730,0.846]"
12940,3.5769,0.000300,"[0.519,0.711,0.822]"
12950,3.6843,0.000300,"[0.535,0.734,0.828]"
12960,3.7008,0.000300,"[0.516,0.726,0.821]"
12970,3.5603,0.000300,"[0.510,0.715,0.845]"
12980,3.5728,0.000300,"[0.517,0.728,0.844]"
12990,3.6914,0.000300,"[0.520,0.711,0.829]"
13000,3.5849,0.000300,"[0.521,0.731,0.831]"
13010,3.5083,0.000300,"[0.512,0.727,0.841]"
13020,3.6575,0.000300,"[0.522,0.727,0.835]"
13030,3.5654,0.000300,"[0.513,0.722,0.844]"
13040,3.5210,0.000300,"[0.505,0.717,0.830]"
13050,3.4209,0.000300,"[0.520,0.728,0.841]"
13060,3.4869,0.000300,"[0.519,0.725,0.830]"
13070,3.4624,0.000300,"[0.513,0.726,0.852]"
13080,3.6452,0.000300,"[0.529,0.726,0.844]"
13090,3.5739,0.000300,"[0.523,0.727,0.826]"
13100,3.6838,0.000300,"[0.510,0.722,0.833]"
13110,3.5807,0.000300,"[0.507,0.740,0.840]"
13120,3.7403,0.000300,"[0.515,0.733,0.850]"
13130,3.6179,0.000300,"[0.514,0.736,0.843]"
13140,3.4632,0.000300,"[0.514,0.728,0.838]"
13150,3.4695,0.000300,"[0.513,0.719,0.829]"
13160,3.5699,0.000300,"[0.507,0.719,0.825]"
13170,3.3701,0.000300,"[0.516,0.721,0.839]"
13180,3.3171,0.000300,"[0.516,0.735,0.831]"
13190,3.4371,0.000300,"[0.515,0.731,0.843]"
13200,3.5025,0.000300,"[0.512,0.717,0.833]"
13210,3.5310,0.000300,"[0.524,0.730,0.834]"
13220,3.3523,0.000300,"[0.515,0.723,0.847]"
13230,3.6659,0.000300,"[0.529,0.723,0.845]"
13240,3.4180,0.000300,"[0.522,0.731,0.837]"
13250,3.5897,0.000300,"[0.523,0.733,0.841]"
13260,3.5447,0.000300,"[0.503,0.713,0.835]"
13270,3.4458,0.000300,"[0.520,0.738,0.858]"
13280,3.5758,0.000300,"[0.531,0.723,0.848]"
13290,3.4914,0.000300,"[0.516,0.722,0.834]"
13300,3.3972,0.000300,"[0.512,0.714,0.843]"
13310,3.5148,0.000300,"[0.519,0.720,0.834]"
13320,3.6025,0.000300,"[0.519,0.730,0.837]"
13330,3.4406,0.000300,"[0.514,0.709,0.840]"
13340,3.3564,0.000300,"[0.512,0.728,0.839]"
13350,3.6761,0.000300,"[0.507,0.726,0.833]"
13360,3.4341,0.000300,"[0.523,0.724,0.831]"
13370,3.5621,0.000300,"[0.506,0.729,0.833]"
13380,3.7088,0.000300,"[0.521,0.717,0.832]"
13390,3.4926,0.000300,"[0.523,0.739,0.847]"
13400,3.4523,0.000300,"[0.503,0.714,0.832]"
13410,3.4505,0.000300,"[0.507,0.719,0.834]"
13420,3.5681,0.000300,"[0.509,0.710,0.852]"
13430,3.6225,0.000300,"[0.518,0.732,0.841]"
13440,3.6035,0.000300,"[0.516,0.716,0.820]"
13450,3.5550,0.000300,"[0.518,0.732,0.852]"
13460,3.6083,0.000300,"[0.523,0.736,0.851]"
13470,3.4171,0.000300,"[0.516,0.739,0.849]"
13480,3.4170,0.000300,"[0.513,0.728,0.823]"
13490,3.5454,0.000300,"[0.506,0.729,0.839]"
13500,3.5735,0.000300,"[0.532,0.738,0.843]"
13510,3.4414,0.000300,"[0.516,0.728,0.837]"
13520,3.5376,0.000300,"[0.516,0.732,0.838]"
13530,3.4376,0.000300,"[0.516,0.726,0.830]"
13540,3.4942,0.000300,"[0.509,0.734,0.838]"
13550,3.5807,0.000300,"[0.504,0.722,0.841]"
13560,3.7094,0.000300,"[0.513,0.723,0.841]"
13570,3.6219,0.000300,"[0.518,0.721,0.833]"
13580,3.5064,0.000300,"[0.507,0.729,0.838]"
13590,3.6108,0.000300,"[0.511,0.726,0.833]"
13600,3.4998,0.000300,"[0.518,0.719,0.840]"
13610,3.5505,0.000300,"[0.514,0.730,0.831]"
13620,3.4393,0.000300,"[0.526,0.730,0.854]"
13630,3.4494,0.000300,"[0.518,0.729,0.838]"
13640,3.6778,0.000300,"[0.508,0.727,0.844]"
13650,3.3938,0.000300,"[0.512,0.723,0.833]"
13660,3.4369,0.000300,"[0.513,0.741,0.836]"
13670,3.4629,0.000300,"[0.510,0.725,0.834]"
13680,3.4413,0.000300,"[0.527,0.742,0.839]"
13690,3.3466,0.000300,"[0.512,0.715,0.842]"
13700,3.5378,0.000300,"[0.513,0.718,0.829]"
13710,3.4363,0.000300,"[0.514,0.714,0.849]"
13720,3.4727,0.000300,"[0.506,0.726,0.829]"
13730,3.6044,0.000300,"[0.515,0.729,0.841]"
13740,3.5404,0.000300,"[0.517,0.726,0.840]"
13750,3.5518,0.000300,"[0.510,0.725,0.826]"
13760,3.5325,0.000300,"[0.510,0.730,0.844]"
13770,3.6030,0.000300,"[0.521,0.743,0.863]"
13780,3.3407,0.000300,"[0.522,0.715,0.828]"
13790,3.6235,0.000300,"[0.530,0.726,0.837]"
13800,3.3874,0.000300,"[0.520,0.730,0.860]"
13810,3.3687,0.000300,"[0.530,0.732,0.851]"
13820,3.5338,0.000300,"[0.523,0.721,0.832]"
13830,3.5828,0.000300,"[0.519,0.723,0.836]"
13840,3.2756,0.000300,"[0.527,0.731,0.839]"
13850,3.4492,0.000300,"[0.527,0.708,0.831]"
13860,3.4927,0.000300,"[0.519,0.729,0.833]"
13870,3.4064,0.000300,"[0.523,0.739,0.835]"
13880,3.4987,0.000300,"[0.526,0.722,0.849]"
13890,3.7304,0.000300,"[0.511,0.734,0.825]"
13900,3.4761,0.000300,"[0.524,0.726,0.851]"
13910,3.5766,0.000300,"[0.520,0.746,0.851]"
13920,3.7851,0.000300,"[0.520,0.727,0.826]"
13930,3.5688,0.000300,"[0.520,0.731,0.852]"
13940,3.5478,0.000300,"[0.528,0.729,0.849]"
13950,3.5979,0.000300,"[0.523,0.738,0.836]"
13960,3.4063,0.000300,"[0.517,0.729,0.824]"
13970,3.4825,0.000300,"[0.526,0.723,0.832]"
13980,3.5228,0.000300,"[0.516,0.731,0.838]"
13990,3.5438,0.000300,"[0.518,0.722,0.819]"
14000,3.5329,0.000300,"[0.511,0.730,0.829]"
14010,3.4933,0.000289,"[0.528,0.728,0.825]"
14020,3.6228,0.000289,"[0.521,0.738,0.847]"
14030,3.6392,0.000289,"[0.515,0.731,0.829]"
14040,3.5341,0.000289,"[0.526,0.730,0.852]"
14050,3.3670,0.000289,"[0.539,0.741,0.847]"
14060,3.4210,0.000289,"[0.520,0.723,0.838]"
14070,3.3952,0.000289,"[0.527,0.741,0.839]"
14080,3.5608,0.000289,"[0.517,0.734,0.841]"
14090,3.5129,0.000289,"[0.516,0.735,0.866]"
14100,3.4882,0.000289,"[0.516,0.731,0.843]"
14110,3.6891,0.000288,"[0.523,0.730,0.838]"
14120,3.4992,0.000288,"[0.515,0.723,0.831]"
14130,3.5008,0.000288,"[0.512,0.715,0.818]"
14140,3.5295,0.000288,"[0.517,0.742,0.840]"
14150,3.6310,0.000288,"[0.523,0.733,0.840]"
14160,3.4002,0.000288,"[0.514,0.741,0.833]"
14170,3.4800,0.000288,"[0.519,0.740,0.841]"
14180,3.4912,0.000288,"[0.530,0.728,0.843]"
14190,3.7000,0.000288,"[0.512,0.729,0.843]"
14200,3.5251,0.000288,"[0.512,0.739,0.862]"
14210,3.5957,0.000288,"[0.532,0.728,0.851]"
14220,3.5389,0.000288,"[0.524,0.723,0.838]"
14230,3.4014,0.000288,"[0.523,0.731,0.863]"
14240,3.4863,0.000288,"[0.514,0.737,0.831]"
14250,3.5924,0.000288,"[0.541,0.733,0.829]"
14260,3.5342,0.000288,"[0.526,0.737,0.838]"
14270,3.5298,0.000288,"[0.525,0.721,0.822]"
14280,3.4683,0.000288,"[0.521,0.725,0.848]"
14290,3.5766,0.000288,"[0.522,0.722,0.831]"
14300,3.3859,0.000288,"[0.514,0.724,0.846]"
14310,3.5727,0.000288,"[0.519,0.740,0.852]"
14320,3.3372,0.000288,"[0.524,0.731,0.844]"
14330,3.5597,0.000288,"[0.514,0.739,0.857]"
14340,3.5645,0.000288,"[0.519,0.726,0.845]"
14350,3.6543,0.000288,"[0.518,0.729,0.840]"
14360,3.5227,0.000288,"[0.520,0.731,0.829]"
14370,3.7078,0.000288,"[0.528,0.740,0.843]"
14380,3.6946,0.000288,"[0.512,0.723,0.828]"
14390,3.6132,0.000288,"[0.529,0.726,0.832]"
14400,3.5489,0.000288,"[0.516,0.735,0.852]"
14410,3.5352,0.000288,"[0.525,0.731,0.843]"
14420,3.4151,0.000288,"[0.517,0.721,0.845]"
14430,3.5014,0.000288,"[0.525,0.723,0.838]"
14440,3.3685,0.000288,"[0.523,0.738,0.851]"
14450,3.3641,0.000288,"[0.528,0.738,0.861]"
14460,3.6955,0.000288,"[0.530,0.740,0.849]"
14470,3.6667,0.000288,"[0.526,0.742,0.836]"
14480,3.3506,0.000288,"[0.529,0.730,0.861]"
14490,3.5444,0.000288,"[0.512,0.739,0.838]"
14500,3.5743,0.000288,"[0.509,0.734,0.821]"
14510,3.5363,0.000288,"[0.524,0.740,0.855]"
14520,3.5585,0.000288,"[0.515,0.739,0.847]"
14530,3.4504,0.000288,"[0.517,0.733,0.832]"
14540,3.2940,0.000288,"[0.516,0.735,0.846]"
14550,3.5581,0.000288,"[0.516,0.741,0.849]"
14560,3.5391,0.000288,"[0.519,0.737,0.845]"
14570,3.4500,0.000288,"[0.529,0.731,0.843]"
14580,3.5910,0.000288,"[0.521,0.741,0.842]"
14590,3.5583,0.000288,"[0.531,0.739,0.840]"
14600,3.6412,0.000288,"[0.517,0.728,0.833]"
14610,3.4931,0.000288,"[0.517,0.736,0.846]"
14620,3.3943,0.000288,"[0.534,0.747,0.858]"
14630,3.4531,0.000288,"[0.520,0.726,0.849]"
14640,3.6271,0.000288,"[0.530,0.746,0.861]"
14650,3.6770,0.000288,"[0.522,0.736,0.840]"
14660,3.6077,0.000288,"[0.540,0.748,0.850]"
14670,3.4871,0.000287,"[0.534,0.748,0.844]"
14680,3.5734,0.000287,"[0.532,0.730,0.838]"
14690,3.6449,0.000287,"[0.520,0.741,0.844]"
14700,3.4092,0.000287,"[0.519,0.736,0.852]"
14710,3.4399,0.000287,"[0.520,0.739,0.858]"
14720,3.6126,0.000287,"[0.519,0.736,0.838]"
14730,3.4074,0.000287,"[0.533,0.740,0.858]"
14740,3.4812,0.000287,"[0.523,0.721,0.824]"
14750,3.6251,0.000287,"[0.523,0.748,0.853]"
14760,3.5413,0.000287,"[0.538,0.744,0.849]"
14770,3.2326,0.000287,"[0.528,0.729,0.856]"
14780,3.6601,0.000287,"[0.526,0.739,0.850]"
14790,3.7112,0.000287,"[0.519,0.744,0.861]"
14800,3.7034,0.000287,"[0.519,0.736,0.841]"
14810,3.4002,0.000287,"[0.528,0.733,0.860]"
14820,3.5156,0.000287,"[0.525,0.740,0.842]"
14830,3.4992,0.000287,"[0.523,0.742,0.850]"
14840,3.3610,0.000287,"[0.523,0.737,0.852]"
14850,3.6058,0.000287,"[0.513,0.724,0.837]"
14860,3.5470,0.000287,"[0.522,0.721,0.854]"
14870,3.3881,0.000287,"[0.515,0.730,0.854]"
14880,3.5653,0.000287,"[0.518,0.732,0.850]"
14890,3.4661,0.000287,"[0.521,0.739,0.860]"
14900,3.5099,0.000287,"[0.528,0.741,0.852]"
14910,3.4501,0.000287,"[0.525,0.728,0.842]"
14920,3.4061,0.000287,"[0.526,0.731,0.846]"
14930,3.4720,0.000287,"[0.532,0.736,0.849]"
14940,3.7216,0.000287,"[0.521,0.728,0.839]"
14950,3.5025,0.000287,"[0.526,0.739,0.844]"
14960,3.6307,0.000287,"[0.516,0.732,0.836]"
14970,3.5701,0.000287,"[0.514,0.734,0.849]"
14980,3.6339,0.000287,"[0.517,0.738,0.851]"
14990,3.4056,0.000287,"[0.534,0.733,0.842]"
15000,3.5710,0.000287,"[0.525,0.730,0.839]"
15010,3.4521,0.000287,"[0.526,0.731,0.857]"
15020,3.5375,0.000287,"[0.521,0.748,0.856]"
15030,3.3637,0.000287,"[0.520,0.730,0.846]"
15040,3.5731,0.000287,"[0.526,0.742,0.844]"
15050,3.4671,0.000287,"[0.537,0.751,0.852]"
15060,3.5060,0.000287,"[0.523,0.738,0.846]"
15070,3.5413,0.000287,"[0.519,0.733,0.843]"
15080,3.3009,0.000287,"[0.532,0.744,0.853]"
15090,3.4986,0.000287,"[0.524,0.738,0.861]"
15100,3.3438,0.000287,"[0.522,0.736,0.864]"
15110,3.4122,0.000287,"[0.518,0.745,0.860]"
15120,3.5183,0.000287,"[0.518,0.728,0.862]"
15130,3.3979,0.000287,"[0.531,0.738,0.870]"
15140,3.4936,0.000287,"[0.520,0.738,0.855]"
15150,3.4286,0.000287,"[0.532,0.737,0.835]"
15160,3.4002,0.000287,"[0.516,0.727,0.855]"
15170,3.4699,0.000287,"[0.529,0.737,0.839]"
15180,3.4650,0.000287,"[0.520,0.741,0.843]"
15190,3.6257,0.000287,"[0.517,0.741,0.845]"
15200,3.4784,0.000287,"[0.523,0.734,0.863]"
15210,3.5361,0.000287,"[0.524,0.753,0.865]"
15220,3.5049,0.000286,"[0.526,0.739,0.854]"
15230,3.4907,0.000286,"[0.512,0.731,0.837]"
15240,3.4943,0.000286,"[0.533,0.750,0.845]"
15250,3.5486,0.000286,"[0.521,0.732,0.831]"
15260,3.4930,0.000286,"[0.522,0.729,0.842]"
15270,3.4200,0.000286,"[0.523,0.722,0.840]"
15280,3.4881,0.000286,"[0.538,0.753,0.862]"
15290,3.3906,0.000286,"[0.525,0.730,0.855]"
15300,3.7061,0.000286,"[0.522,0.746,0.851]"
15310,3.6670,0.000286,"[0.516,0.739,0.847]"
15320,3.5138,0.000286,"[0.516,0.724,0.833]"
15330,3.5511,0.000286,"[0.524,0.729,0.846]"
15340,3.5922,0.000286,"[0.529,0.741,0.863]"
15350,3.4967,0.000286,"[0.524,0.729,0.844]"
15360,3.6105,0.000286,"[0.526,0.737,0.848]"
15370,3.4347,0.000286,"[0.539,0.738,0.844]"
15380,3.5090,0.000286,"[0.529,0.744,0.853]"
15390,3.4357,0.000286,"[0.508,0.717,0.844]"
15400,3.6194,0.000286,"[0.524,0.738,0.847]"
15410,3.4683,0.000286,"[0.524,0.746,0.866]"
15420,3.5562,0.000286,"[0.515,0.739,0.841]"
15430,3.3518,0.000286,"[0.527,0.750,0.872]"
15440,3.6338,0.000286,"[0.528,0.742,0.849]"
15450,3.6885,0.000286,"[0.530,0.738,0.858]"
15460,3.5945,0.000286,"[0.515,0.737,0.832]"
15470,3.6672,0.000286,"[0.541,0.747,0.857]"
15480,3.4813,0.000286,"[0.530,0.734,0.843]"
15490,3.5472,0.000286,"[0.527,0.744,0.843]"
15500,3.3944,0.000286,"[0.521,0.728,0.837]"
15510,3.3732,0.000286,"[0.535,0.747,0.871]"
15520,3.6279,0.000286,"[0.527,0.736,0.833]"
15530,3.6115,0.000286,"[0.515,0.733,0.841]"
15540,3.5114,0.000286,"[0.529,0.735,0.867]"
15550,3.4793,0.000286,"[0.526,0.735,0.855]"
15560,3.5442,0.000286,"[0.523,0.726,0.831]"
15570,3.3185,0.000286,"[0.537,0.729,0.858]"
15580,3.5384,0.000286,"[0.527,0.735,0.842]"
15590,3.5414,0.000286,"[0.537,0.727,0.848]"
15600,3.6895,0.000286,"[0.533,0.734,0.851]"
15610,3.4285,0.000286,"[0.527,0.733,0.837]"
15620,3.6333,0.000286,"[0.540,0.735,0.852]"
15630,3.6424,0.000286,"[0.539,0.747,0.838]"
15640,3.4877,0.000286,"[0.519,0.728,0.847]"
15650,3.6013,0.000286,"[0.525,0.732,0.844]"
15660,3.4335,0.000286,"[0.517,0.740,0.843]"
15670,3.4817,0.000286,"[0.531,0.749,0.847]"
15680,3.3260,0.000286,"[0.531,0.730,0.848]"
15690,3.4265,0.000286,"[0.530,0.736,0.844]"
15700,3.6294,0.000286,"[0.526,0.730,0.848]"
15710,3.4691,0.000286,"[0.533,0.732,0.861]"
15720,3.5047,0.000286,"[0.526,0.742,0.862]"
15730,3.5521,0.000286,"[0.521,0.744,0.857]"
15740,3.6339,0.000285,"[0.540,0.736,0.857]"
15750,3.5620,0.000285,"[0.547,0.738,0.862]"
15760,3.5354,0.000285,"[0.537,0.730,0.855]"
15770,3.5028,0.000285,"[0.524,0.731,0.839]"
15780,3.4163,0.000285,"[0.526,0.733,0.848]"
15790,3.5173,0.000285,"[0.530,0.734,0.866]"
15800,3.3687,0.000285,"[0.529,0.730,0.855]"
15810,3.3450,0.000285,"[0.518,0.729,0.859]"
15820,3.6265,0.000285,"[0.524,0.734,0.844]"
15830,3.4494,0.000285,"[0.532,0.726,0.855]"
